"","schids","ctyids","frame","subsample","fall","pla01","pla01a","pla01b","pla02","pla03","pla03a","pla04","pla05","pla06","pla07","pla08","pla09","pla09a","pla10","pla11a","pla11b","pla1201","pla1202","pla1203","pla1204","pla1205","pla1206","pla1207","pla1208","pla1209","pla1210","pla13","pla14","pla15","pla16","pla17","pla18","pla19","pla20","pla2101","pla2102","pla2103","pla2104","pla2105","pla2106","pla2107","pla22","pla22b","pla23","pla23flag","pla24","pla2501","pla2502","pla2503","pla2504","pla2505","pla2506","pla2507","pla26","pla27","plb0101a","plb0101b","plb0102a","plb0102b","plb0103a","plb0103b","plb02","plb0301a","plb0301b","plb0302a","plb0302b","plb0303a","plb0303b","plb04","plb0501","plb0502","plb0503","plb06","plb07","plb08","plb09","plb1001","plb1002","plb1003","plb1101","plb1102","plb1103","plb1201","plb1202","plb1203","plb1204","plb1205","plb1206","plb1301a","plb1301b","plb1301c","plb1302a","plb1302b","plb1302c","plb1303a","plb1303b","plb1303c","plb1401","plb1402","plb1403","plb1404","plb1405","plc0101a","plc0101b","plc0102","plc0103","plc0104","plc0105","plc0106","plc0107","plc0201","plc0202","plc0203","plc0301","plc0302","plc0303","plc0401a","plc0402a","plc0403a","plc0403b","plc0404a","plc0404b","plc0405a","plc0405b","plc0501","plc0502","plc0503","plc0504","plc0505","plc0506","plc0601","plc0602","plc07","plc07a","plc08","plc09","plc10","plc1101","plc1102","plc1103","plc1104","plc11040","plc1105","plc12","plc12a","plc13","pld01","pld0201","pld0202","pld0203","pld0204","pld0205","pld0206","pld0301","pld0302","pld0303","pld0304","pld0305","pld0306","pld0307","pld0308","pld04","pld04a","pld05","pld06","pld0701a","pld0701b","pld0701c","pld0702a","pld0702b","pld0702c","pld0703a","pld0703b","pld0703c","pld0704a","pld0704b","pld0704c","pld0705a","pld0705b","pld0705c","pld0706a","pld0706b","pld0706c","pld0801","pld0801a","pld0802","pld0802a","pld0803","pld0803a","pld0804","pld0804a","pld0805","pld0806","pld0901","pld0901a","pld0902","pld0902a","pld0903","pld0903a","pld0904","pld0904a","pld0905","pld0906","ple0101","ple0102","ple0201a1","ple0201a2","ple0201b1","ple0201b2","ple0202a1","ple0202a2","ple0202b1","ple0202b2","ple0301a","ple0301b","ple0302a","ple0302b","ple04","ple05","ple0601a1","ple0601a2","ple0601b1","ple0601b2","ple0602a1","ple0602a2","ple0602b1","ple0602b2","ple07","ple0800","ple0801","ple0802","ple0803","ple0804","ple0901","ple0902","ple0903","ple0904","ple0905","ple0906","ple10","ple1101","ple1102","ple1103","ple1104","ple1105","ple1106","ple1107","ple1108","ple12","ple13","ple14","ple1501","ple1502","ple1503","ple1504","ple16","ple17","ple1801","ple1802","ple1803","ple1804","ple1805","ple19","ple20","ple21","ple2201","ple2202","ple2203","ple2301","ple2302","ple2303","ple2304","ple2305","ple2306","ple2401","ple2402","ple2403","ple2404","ple2405","ple2406","ple2501","ple2502","ple2503","ple2601a","ple2601b","ple2601c","ple2602a","ple2602b","ple2602c","ple2603a","ple2603b","ple2603c","ple2604a","ple2604b","ple2604c","ple2605a","ple2605b","ple2605c","ple27","ple27a","ple2801","ple2802","ple2803","plf01","plf02","plf03","plf04","plf05","plf06","plf07","plf08","plf08a","plf09","plf09a","plf10","plf10a","plf11","plf12","plf13","plf1401","plf1402","plf1403","plf1404","plf1405","plf1406","plf1407","plf1501","plf1502","plf1503","plf1504","plf1505","plf1506","plf1507","plf1601","plf1602","plf1603","plf1604","plf1605","schhkplace","schhkplace_4c","schhktype","schhktype_4c","schstlb","schstlb_4c","schtype_4c","schtype_2c","schrank_5c","schrank_3c","schbrd","schloc_5c","schloc_3c","schat","schat_3c","ctyedu","ctyeduz","ctyeduc","ctytype","ctyplace","random_even_placement"
"25",67,17,1,1,1,1,NA,NA,2,2,NA,4,3,1966,1,2,1,200,1,98,10,2,2,2,2,2,2,2,2,1,1,18,55,4,114,44100,900,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,5,0,7,1,0,0,1,0,1,0,2,3,6,299,6,302,6,359,1,100,1,NA,NA,NA,NA,2,9,9,9,4,4,1,1,1,3,2,9,9,9,9,9,9,9,9,9,NA,0,NA,NA,0,NA,NA,3,NA,4,4,4,4,4,66,38,66,0,0,0,"16.6：1","14.5：1",1,1,1,7,16,43,0,2,9,9,53,53,2,2,5,0,21,21,19,0,60000,36000,2,NA,4,1,1,0,0,0,0,"",1,1,12,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,1,2008,0,NA,1,2002,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,1,5,5,7,50,16,50,7,50,16,50,7,45,7,45,1,1,17,50,20,50,17,50,21,0,1,1,0,0,0,0,2,2,2,3,2,2,10,1,1,1,1,1,1,1,1,3,1,1,0,0,1,0,2,5,1,1,0,0,0,2,1,6,1,1,1,1,0,0,1,0,0,3,3,3,3,3,2,1,0,0,320,NA,9,85,NA,9,172,NA,9,148,NA,9,0,9,9,3,NA,3,3,3,1,2008,1,1963,1,4,1,1,1981,2,NA,1,27,32,32,12,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0.941747546195984,4,0.892682909965515,4,0.101449273526669,2,1,1,4,2,1,5,3,8,1,10.67,1.33299994468689,3,2,1,1
"26",70,18,1,1,1,1,NA,NA,2,2,NA,4,3,1982,1,2,1,300,2,112,12,3,3,3,3,2,3,3,3,1,1,93,50,4,40,32000,700,1,3,100,NA,NA,NA,NA,NA,NA,2,NA,4,0,7,1,0,0,0,0,0,0,2,1,6,287,6,285,6,236,3,98,1,2,1,NA,NA,3,3,3,3,1,2,4,4,1,3,6,1,2,3,1,1,1,1,1,1,NA,NA,30,NA,NA,25,NA,NA,15,4,4,4,4,4,85,43,85,0,3,0,"20：1","17:1",1,1,1,3,14,68,NA,NA,15,15,68,66,2,2,NA,NA,1,61,23,NA,28600,30000,2,NA,4,1,1,0,0,0,0,"",1,1,25,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2008,0,NA,1,2008,0,NA,0,0,1,2008,0,NA,0,NA,0,NA,0,0,0.5,0.5,6,0,NA,NA,6,0,NA,NA,6,45,6,45,1,2,18,0,20,20,18,0,20,20,1,1,0,0,0,0,3,1,1,1,1,1,10,1,1,1,1,1,1,1,1,3,2,1,0,0,1,0,1,4,1,1,0,0,0,2,2,4,2,1,1,0,0,0,1,0,1,2,3,2,2,1,1,1,0,0,230,10,NA,75,2,NA,100,7,NA,13,1,NA,NA,NA,NA,1,2008,3,3,3,2,1996,1,1966,1,4,1,1,1995,2,NA,1,12,29,9,7,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0.975000023841858,4,0.824999988079071,4,0.408333331346512,3,1,1,4,2,2,4,3,8,1,9.07,0.242397740483284,2,4,2,1
"27",71,18,1,1,1,1,NA,NA,2,2,NA,3,2,1975,2,2,1,300,1,80,8,3,3,1,3,1,2,2,3,1,1,63,50,3,0,25700,730,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,0,7,1,1,0,0,1,0,1,2,2,4,278,3,200,3,185,3,100,NA,0,NA,0,NA,2,9,9,9,4,4,2,3,1,3,2,9,9,9,9,9,9,9,9,9,NA,1,0,NA,2,2,NA,5,3,4,4,3,4,4,64,NA,64,0,0,2,"26：1","24：1",2,2,2,NA,NA,NA,NA,NA,NA,10,NA,54,NA,NA,NA,NA,33,28,13,NA,NA,NA,2,NA,3,1,1,0,0,0,0,"",0,1,4,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,4,2,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,1,NA,0,NA,1,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,7,45,7,45,1,NA,8,20,20,0,8,20,20,0,1,1,0,0,0,0,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,NA,4,1,0,0,1,0,1,5,0,1,0,0,0,3,1,2,1,1,1,0,0,0,1,0,0,2,2,2,2,1,1,1,0,0,155,NA,9,47,NA,NA,97,NA,NA,13,NA,NA,NA,NA,NA,3,NA,9,9,9,2,2009,1,1971,1,4,1,1,1989,2,NA,1,24,24,19,8,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0.98046875,4,0.803149580955505,4,0.47265625,3,1,1,3,1,1,5,3,8,1,9.07,0.242397740483284,2,4,2,1
"28",85,22,1,1,0,1,NA,NA,1,1,NA,4,3,1963,1,2,1,200,2,24,7,3,3,2,3,2,2,2,2,1,1,62,55,4,200,30000,1450,4,3,NA,100,NA,NA,NA,NA,NA,2,NA,1,0,1,1,1,0,1,1,1,0,3,2,10,496,10,523,8,448,2,62,2,21,2,17,2,2,3,3,3,2,2,2,2,3,NA,NA,NA,NA,NA,3,3,2,2,2,2,0,2,11,0,6,8,0,0,0,4,4,4,4,4,92,41,92,9,3,0,"17：1","15.6：1",1,1,1,11,32,49,0,0,2,2,90,90,NA,NA,0,2,32,45,13,0,72000,65000,1,2004,4,1,1,0,0,0,1,"地理，历史",0,1,12,1,2,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,NA,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2009,0,NA,0,NA,0,NA,0,0,1,2009,0,NA,0,NA,0,NA,0,0,5,5,7,20,17,20,7,20,17,20,7,40,7,40,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,3,2,1,1,1,1,71,1,1,1,1,1,1,1,1,3,3,1,0,0,1,0,2,5,1,1,0,0,0,3,2,2,1,1,1,1,1,0,0,1,0,3,3,3,3,3,3,1,1,0,463,21,NA,35,9,NA,198,10,NA,213,1,NA,17,0,NA,1,2001,2,2,3,2,2009,1,1964,1,6,1,1,1986,2,NA,1,23,30,10,28,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.754999995231628,3,0.259999990463257,2,0.232673272490501,2,1,1,4,2,2,1,1,8,1,9.92,0.821780204772949,2,3,1,1
"29",86,22,1,1,0,1,NA,NA,1,1,1986,4,3,1986,1,2,1,300,3,0,NA,2,2,2,2,2,2,1,2,1,1,30,50,4,50,50000,1300,1,3,1,98,0,0,1,0,0,2,NA,1,0,1,1,0,0,1,1,0,0,3,1,8,365,7,356,5,255,3,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,1,2,3,1,2,3,1,1,1,1,1,1,7,45,6,7,65,9,6,12,2,4,4,3,4,4,60,30,59,5,4,6,"800：58","1007：60",1,1,1,5,4,51,NA,NA,6,6,53,52,1,1,NA,NA,24,23,12,NA,6000,4000,2,NA,3,1,1,0,0,0,0,"",1,1,NA,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,3,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2010,0,NA,0,NA,0,NA,0,0,1,2010,0,NA,0,NA,0,NA,0,0,5,5,7,10,17,20,7,10,17,20,7,40,7,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,3,2,2,2,3,1,30,1,2,2,1,1,2,1,1,3,3,3,0,0,1,0,2,5,1,1,0,0,0,3,2,2,1,1,1,1,1,0,0,0,0,2,4,1,3,3,2,1,0,0,126,137,NA,9,NA,NA,56,NA,NA,193,NA,NA,NA,NA,NA,1,NA,2,3,3,1,2007,1,1966,1,7,1,1,1989,2,NA,1,6,26,7,20,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0.363636374473572,1,0.537634432315826,2,0.224598929286003,2,1,1,4,2,3,1,1,11,2,9.92,0.821780204772949,2,3,1,1
"30",87,22,1,1,0,1,NA,NA,1,2,NA,2,1,1958,2,2,1,NA,2,26,6,2,1,2,1,1,1,1,2,1,1,6,35,4,0,NA,135,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,4,0,3,1,0,0,1,1,1,0,2,1,2,81,2,52,2,74,1,86,1,8,2,6,2,1,3,3,3,2,2,2,2,1,2,3,3,2,1,2,2,2,2,2,2,0,20,8,0,17,6,0,8,3,4,4,4,4,4,27,15,27,0,2,0,"15：1","8：1",2,1,3,0,5,22,0,0,17,13,12,10,0,0,0,0,17,8,2,0,72000,48000,2,NA,3,1,2,0,0,0,0,"",1,1,26,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,1,NA,0,NA,0,NA,1,2010,0,0,1,2006,0,NA,0,NA,0,NA,0,0,0.5,0.5,7,30,17,0,7,30,17,0,7,40,7,40,1,1,19,30,21,0,19,30,21,0,1,1,0,0,0,0,2,1,1,1,1,1,30,2,2,2,2,1,1,1,1,3,4,1,0,0,1,1,2,5,1,1,0,0,0,3,2,2,1,1,2,1,0,0,1,0,0,2,1,1,2,1,1,1,1,0,89,6,NA,8,NA,NA,17,1,NA,26,3,NA,38,2,NA,NA,NA,1,2,2,1,2014,1,1961,1,5,1,1,NA,2,NA,1,NA,33,1,15,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.811023592948914,3,0.344537824392319,2,0.253846168518066,2,1,1,2,1,2,4,3,12,2,9.92,0.821780204772949,2,3,1,1
"31",88,22,1,1,0,1,NA,NA,1,1,NA,2,3,1976,1,2,2,NA,3,NA,NA,2,2,2,1,2,2,1,2,1,1,34,50,4,30,20000,1090,1,3,NA,100,NA,NA,NA,NA,NA,2,NA,3,0,1,1,0,0,1,1,0,0,2,2,4,206,3,126,2,91,3,44,3,26,3,30,3,2,3,4,3,3,3,2,3,3,2,1,3,2,1,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,4,4,57,30,57,3,2,1,"1：15","1：14",3,2,3,2,2,53,0,3,26,26,28,28,0,0,0,0,32,20,5,0,65000,50000,2,NA,4,1,1,0,0,0,0,"",1,1,8,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,1,2014,0,0,0,NA,0,NA,0,NA,1,2014,0,0,5,5,7,20,17,0,7,20,17,0,7,40,7,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,1,2,1,1,1,15,1,2,2,1,1,2,1,1,1,3,3,0,0,1,0,2,5,1,1,0,0,0,3,2,2,2,1,1,1,0,0,0,0,0,2,3,2,2,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,3,1,2004,1,1969,1,5,1,1,1994,2,NA,1,13,24,10,10,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0.481012672185898,1,0.575163424015045,2,0.208860754966736,2,1,1,2,1,3,3,2,11,2,9.92,0.821780204772949,2,3,1,1
"32",97,25,1,1,1,1,NA,NA,2,1,1989,4,3,1989,2,2,2,NA,2,48,8,3,2,1,3,1,2,2,2,1,1,9,50,4,20,15630,700,1,3,100,NA,NA,NA,NA,NA,NA,2,NA,3,0,7,1,0,0,1,1,1,0,2,1,2,61,2,70,2,68,1,98,3,2,1,0,2,1,3,3,3,2,2,3,4,1,3,4,1,3,4,2,2,2,2,2,1,0,6,3,0,8,4,0,7,2,4,2,2,4,3,37,24,37,0,2,0,"13：1","5.5：1",3,3,3,0,3,21,0,0,12,12,25,25,0,0,0,0,19,14,4,0,45000,34500,2,NA,NA,1,NA,NA,NA,NA,NA,"",NA,1,30,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,1,2006,0,NA,0,0,0,NA,0,NA,1,2006,0,NA,0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11,40,11,40,1,1,18,10,20,30,18,10,20,30,1,1,0,0,0,0,3,1,1,3,1,1,30,1,1,1,1,1,1,1,1,3,4,1,0,0,1,0,2,4,1,1,0,0,0,2,1,2,1,1,1,1,0,0,1,0,0,2,2,2,2,2,2,1,0,0,80,1,NA,3,0,NA,43,1,NA,0,0,NA,0,0,NA,1,1989,3,3,NA,1,2008,1,1970,1,5,1,1,1989,2,NA,1,13,24,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.961240291595459,4,0.7890625,3,0.69767439365387,4,1,1,4,2,2,3,2,8,1,7.56,-0.786858081817627,1,4,3,1
"33",99,25,1,1,1,1,NA,NA,2,1,1980,4,3,1950,1,2,1,200,2,88,8,2,2,2,3,2,2,3,2,1,1,42,50,2,35,4000,700,1,2,NA,NA,100,NA,NA,NA,NA,2,NA,5,0,7,1,1,0,1,1,0,1,2,1,3,164,3,176,3,160,1,98,2,2,2,0,1,3,3,3,4,2,1,3,3,1,3,4,3,2,1,2,2,2,3,3,2,0,21,20,0,18,18,5,0,0,3,4,2,1,3,39,21,39,0,2,5,"1：31","1：15",1,1,2,11,21,7,0,0,19,17,20,20,0,0,5,0,26,7,1,NA,50000,36000,1,2008,3,1,1,0,0,0,0,"",1,1,10,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,NA,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,20,20,NA,1,2007,0,NA,1,2007,0,NA,0,0,1,2007,0,NA,1,2007,0,NA,0,0,5,5,8,30,17,0,8,30,20,30,7,40,10,40,1,2,NA,NA,NA,NA,19,0,20,30,1,1,0,0,0,0,2,1,2,2,3,4,70,1,1,3,3,1,2,2,1,3,4,1,1,0,1,0,2,4,1,1,0,0,0,2,1,2,2,2,2,0,0,0,0,1,0,2,3,2,3,2,2,1,1,0,153,11,NA,83,5,NA,62,6,NA,8,8,NA,0,0,NA,1,NA,3,3,3,1,2007,1,1970,1,5,1,1,NA,2,NA,1,18,25,25,10,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0.978609621524811,4,0.795698940753937,3,0.687830686569214,4,1,1,4,2,2,5,3,14,3,7.56,-0.786858081817627,1,4,3,1
"34",100,25,1,1,1,1,NA,NA,2,1,1985,4,3,1985,1,2,2,NA,2,11,10,2,1,1,2,1,2,2,2,1,1,14,40,1,0,22000,600,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,4,0,7,1,0,0,1,1,0,0,2,2,2,80,2,70,2,67,1,94,1,6,1,NA,NA,2,3,3,3,2,2,2,2,1,3,NA,1,3,NA,2,2,2,2,2,2,0,6,0,0,4,3,0,9,0,4,3,1,2,4,42,25,42,NA,1,8,"20：1","18：1",1,1,2,24,8,10,0,0,27,25,15,14,NA,NA,8,10,12,10,2,NA,40000,36000,1,2010,3,1,1,0,0,0,1,"音乐，美术，体育，物理，化学，计算机，生物，地理",0,1,83,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,0,NA,1,NA,0,NA,0,0,1,NA,0,NA,1,NA,0,NA,0,0,5,5,7,30,16,35,7,30,16,35,7,40,7,40,1,1,18,35,20,5,18,35,20,5,1,1,0,0,0,0,3,3,2,2,3,4,87,1,1,1,1,1,1,1,1,3,4,1,0,0,1,0,2,5,1,0,0,0,0,2,2,2,2,2,2,1,0,1,1,0,0,2,2,3,3,4,3,1,1,0,93,13,NA,18,4,NA,65,8,NA,10,1,NA,NA,NA,NA,1,1989,3,3,3,1,2010,1,1974,1,5,1,1,1993,2,NA,1,16,21,3,16,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0.924812018871307,4,0.849624037742615,4,0.748148143291473,4,1,1,4,2,2,4,3,8,1,7.56,-0.786858081817627,1,4,3,1
"35",101,26,1,1,0,1,NA,NA,2,2,NA,4,3,1979,2,2,2,NA,3,0,0,2,2,2,1,1,1,1,2,1,1,27,70,2,50,20000,700,4,2,100,0,0,0,0,0,0,2,NA,1,0,1,1,1,0,1,1,1,1,2,1,18,1156,NA,NA,NA,NA,3,100,2,0,2,0,2,2,NA,NA,NA,NA,NA,3,3,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,137,82,132,0,0,33,"17：1","19：1",1,1,3,0,15,122,0,4,65,60,67,67,1,1,0,2,63,47,22,0,50400,39600,2,NA,4,1,1,0,0,1,1,"艺体教师",0,1,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,4,2,0,0,9,15,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,1,NA,0,NA,1,NA,1,2013,0,0,0,NA,0,NA,0,NA,0,NA,0,1,0.5,0.600000023841858,7,20,16,30,7,20,16,30,7,45,7,45,1,1,19,0,20,40,19,0,20,40,1,1,0,0,0,0,2,2,2,1,4,2,3,2,1,2,1,1,2,1,1,NA,3,NA,0,0,1,0,2,NA,0,1,0,0,0,4,2,2,1,1,2,1,0,1,1,0,0,2,2,1,2,2,1,1,1,0,607,NA,9,272,NA,9,150,NA,9,165,NA,9,20,NA,9,3,NA,2,2,2,1,2011,1,1968,1,5,1,1,1988,2,NA,1,26,26,3,19,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0.975409865379333,4,0.610655725002289,3,0.405737698078156,3,1,1,4,2,3,1,1,11,2,6.8,-1.30489420890808,1,4,3,1
"36",103,26,1,1,0,1,NA,NA,2,1,2003,4,3,2000,1,2,1,200,2,2,8,2,1,2,2,1,2,2,2,1,1,21,60,1,0,16000,750,1,3,100,0,0,0,0,0,0,2,NA,4,0,7,1,0,0,1,1,0,0,2,1,7,361,7,381,7,370,1,99,2,1,2,0,2,3,3,3,3,1,2,2,2,1,2,3,3,NA,NA,1,2,2,1,1,2,1,6,6,0,7,7,2,0,5,3,4,1,1,4,61,42,61,0,0,12,"1：18","1：19.6",1,2,3,24,25,12,0,0,15,15,46,46,2,2,NA,12,31,14,4,NA,40000,30000,1,2011,3,1,1,0,0,1,1,"地理，历史",0,1,10,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,3,2,2,0,0,NA,0,0,NA,0,0,NA,160,160,NA,0,0,NA,15,15,NA,1,2006,1,2011,1,2006,0,NA,0,0,1,2006,1,2011,1,2006,0,NA,0,0,0.5,0.5,6,30,4,40,6,30,4,40,7,45,7,45,1,1,7,0,8,40,7,0,8,40,1,1,0,0,0,0,3,2,2,2,2,4,20,1,1,2,1,1,1,1,1,3,4,1,0,0,1,0,2,5,1,0,0,0,0,4,2,2,2,2,3,0,0,0,1,0,0,2,3,1,2,1,1,1,1,0,470,NA,9,60,NA,NA,80,NA,NA,330,NA,NA,0,NA,NA,1,2013,3,3,3,2,2013,1,1976,3,5,1,1,1996,2,NA,1,17,18,11,2,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,4,0.502183377742767,2,0.319327741861343,3,1,1,4,2,2,4,3,9,2,6.8,-1.30489420890808,1,4,3,1
"37",104,26,1,1,0,1,NA,NA,2,1,2011,3,3,2011,1,2,1,250,2,420,8,3,3,3,2,2,1,3,2,1,1,60,66,4,180,60000,700,1,3,100,NA,NA,NA,NA,NA,NA,2,NA,2,0,6,0,1,0,1,1,0,1,4,2,20,1370,16,1031,10,524,3,99,2,1,2,1,2,3,3,3,3,2,2,3,3,1,2,3,3,2,1,2,2,2,2,2,2,0,21,36,0,26,42,0,0,0,1,4,2,4,4,130,90,130,0,0,42,"0：0","22：1",1,1,2,5,34,91,0,0,61,61,69,66,0,0,0,0,49,70,11,0,55200,44400,2,NA,3,1,1,0,0,0,0,"",1,1,10,2,2,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,800,800,NA,0,0,NA,NA,NA,NA,1,2011,1,2011,1,2011,0,NA,0,0,1,2011,1,2011,1,2011,0,NA,0,0,5,5,8,0,4,40,8,0,4,40,7,45,7,45,1,1,7,0,8,40,7,0,8,40,1,1,0,0,0,0,2,3,2,2,4,1,1,4,4,4,3,2,2,1,1,3,4,1,0,0,1,0,2,5,1,1,0,0,0,3,1,2,1,1,1,1,0,0,1,0,0,3,4,3,3,4,3,0,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3,NA,4,4,4,1,2011,1,1966,1,4,1,1,1996,2,NA,1,17,29,3,15,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.981566846370697,4,0.853210985660553,4,0.385321110486984,3,1,1,3,1,2,2,2,21,3,6.8,-1.30489420890808,1,4,3,1
"38",105,27,1,1,1,1,NA,NA,2,1,NA,5,3,1915,1,2,1,400,2,400,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,70,4,644,140000,700,3,3,10,NA,NA,0,3,4,NA,2,NA,1,0,1,1,0,0,0,0,0,0,2,1,7,477,7,406,6,355,3,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,4,4,5,3,6,3,NA,NA,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,3,3,3,3,3,80,28,80,0,NA,25,"","",1,1,1,10,20,50,NA,NA,NA,2,NA,73,NA,5,7,NA,23,35,15,NA,40000,32000,1,NA,4,1,1,0,0,0,0,"",1,1,NA,2,4,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,NA,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.600000023841858,7,10,17,35,7,10,17,35,8,45,8,45,1,1,19,30,21,0,19,30,22,0,1,1,0,0,0,0,1,2,1,1,1,1,3,1,2,2,1,1,2,2,1,3,3,1,0,0,1,0,2,4,1,0,0,0,0,2,2,2,1,1,1,0,0,0,1,0,0,3,4,1,4,2,2,1,1,0,345,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,3,1,2012,1,1964,1,5,1,1,1998,1,10,1,10,10,1,8,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.88671875,3,0.265625,2,0.12890625,2,1,1,5,3,2,1,1,12,2,8.03,-0.46649369597435,1,4,3,1
